Company,Service Summary,Category,Sub-Category,Founded,Headquarters,Total Funding,Valuation,Key Investors,User Base / Customers,Revenue (ARR),Website
Outreach,AI 영업 자동화 플랫폼,AI Enterprise,Sales,2014,Seattle US,$489M,$4.4B,Sapphire DFJ,6K+ customers,-,outreach.io
HubSpot,AI 마케팅/영업/서비스 플랫폼,AI Enterprise,CRM,2006,Cambridge US,Public,$35B (public),Public,228K+ customers,$2.6B,hubspot.com
Grammarly,AI 글쓰기 어시스턴트,AI Enterprise,Writing,2009,San Francisco US,$400M,$13B,Baillie Gifford IVP,30M+ daily users,-,grammarly.com
Tome,AI 프레젠테이션 생성,AI Enterprise,Presentation,2020,San Francisco US,$81M,$600M,Greylock Lightspeed,Users,-,tome.app
Gamma,AI 프레젠테이션 및 문서,AI Enterprise,Presentation,2020,San Francisco US,$20M,-,Accel,Users,-,gamma.app
Beautiful.ai,AI 프레젠테이션 디자인,AI Enterprise,Presentation,2017,San Francisco US,$36M,-,Shasta,Users,-,beautiful.ai
Canva,AI 디자인 플랫폼. Magic Studio,AI Creative,Design,2012,Sydney Australia,$570M,$40B,Sequoia Felicis,185M+ users,$2.3B,canva.com
Figma,AI 디자인 협업 도구,AI Creative,Design,2012,San Francisco US,$333M,$12.5B,a16z Greylock,Designers,-,figma.com
Adobe Firefly,Adobe AI 이미지 생성,AI Creative,Design,1982,San Jose US,Public,$180B (public),Public,Creative Cloud users,$21B,adobe.com/firefly
Photoroom,AI 배경 제거 및 이미지 편집,AI Creative,Photo Editing,2019,Paris France,$65M,$500M,Balderton Spark,150M+ downloads,-,photoroom.com
Remove.bg,AI 배경 제거 서비스,AI Creative,Photo Editing,2018,Vienna Austria,Acquired,-,Canva (acquired),Users,-,remove.bg
Lensa AI,AI 아바타 생성 앱,AI Creative,Photo Editing,2018,US,-,-,Prisma Labs,Users,-,lensa-ai.com
Synthesia,AI 아바타 비디오 생성,AI Creative,Video,2017,London UK,$157M,$1B,Kleiner Accel,50K+ customers,-,synthesia.io
HeyGen,AI 아바타 비디오 생성,AI Creative,Video,2020,Los Angeles US,$60M,$500M,Benchmark Thrive,300K+ users,-,heygen.com
D-ID,AI 디지털 휴먼 및 아바타,AI Creative,Video,2017,Tel Aviv Israel,$48M,$150M,Pitango,Enterprise,-,d-id.com
Typeface,기업용 AI 콘텐츠 플랫폼,AI Creative,Content,2022,San Francisco US,$165M,$1B,Lightspeed GV,Enterprise,-,typeface.ai
Harvey,AI 법률 어시스턴트,AI Legal,Legal Research,2022,San Francisco US,$806M,$8B,Sequoia OpenAI,Law firms,-,harvey.ai
Casetext,AI 법률 리서치. Thomson Reuters 인수,AI Legal,Legal Research,2013,San Francisco US,Acquired,$650M (acquired),Thomson Reuters,Lawyers,-,casetext.com
Spellbook,AI 계약서 검토 및 작성,AI Legal,Contract,2020,Toronto Canada,$21M,-,Moxxie Gradient,Lawyers,-,spellbook.legal
Robin AI,AI 계약서 분석,AI Legal,Contract,2019,London UK,$33M,-,Temasek,Enterprise,-,robinai.com
Eve,AI 법률 연구 플랫폼,AI Legal,Legal Research,2023,San Francisco US,$47M,-,a16z,Lawyers,-,eve.legal
Abridge,AI 의료 기록 자동화,AI Healthcare,Medical Records,2018,Pittsburgh US,$550M,$5.3B,Lightspeed CVS,Health systems,-,abridge.com
Tempus,AI 정밀 의료 플랫폼,AI Healthcare,Precision Medicine,2015,Chicago US,$1.3B,$8.1B,NEA Google,Providers,-,tempus.com
Recursion,AI 신약 개발,AI Healthcare,Drug Discovery,2013,Salt Lake City US,$966M,$4B (public),a16z SoftBank,Pharma partners,-,recursion.com
Insitro,AI 신약 개발. 머신러닝 기반,AI Healthcare,Drug Discovery,2018,South San Francisco US,$743M,$2.5B,a16z GV,Pharma partners,-,insitro.com
Xaira Therapeutics,AI 신약 발견 스타트업,AI Healthcare,Drug Discovery,2024,San Francisco US,$1B,$2.7B,ARCH Foresite,-,-,xaira.com
Isomorphic Labs,DeepMind 스핀오프. AI 신약 개발,AI Healthcare,Drug Discovery,2021,London UK,$600M,-,Google Thrive,-,-,isomorphiclabs.com
Insilico Medicine,AI 기반 신약 개발,AI Healthcare,Drug Discovery,2014,Hong Kong,$407M,$900M,Qiming Sequoia,Pharma partners,-,insilico.com
Paige,AI 암 진단 병리학,AI Healthcare,Diagnostics,2017,New York US,$220M,$1.4B,General Atlantic,Hospitals,-,paige.ai
PathAI,AI 병리학 진단,AI Healthcare,Diagnostics,2016,Boston US,$255M,$1.25B,General Atlantic,Labs,-,pathai.com
Viz.ai,AI 뇌졸중 진단,AI Healthcare,Diagnostics,2016,San Francisco US,$250M,$1.2B,Insight Tiger,1.3K+ hospitals,-,viz.ai
K Health,AI 1차 진료 플랫폼,AI Healthcare,Telehealth,2016,New York US,$271M,$1.5B,14W Valor,10M+ users,-,khealth.com
Babylon Health,AI 헬스케어 챗봇,AI Healthcare,Telehealth,2013,London UK,$635M,-,Kinnevik,Users,-,babylon.com
Waymo,자율주행 1위. Alphabet 자회사,AI Autonomous,Robotaxi,2009,Mountain View US,$5.6B,-,Alphabet a16z,100K rides/week,-,waymo.com
Cruise,GM 자율주행. 운영 중단,AI Autonomous,Robotaxi,2013,San Francisco US,$10B,-,GM SoftBank Honda,-,-,getcruise.com
Aurora,자율주행 트럭 1위,AI Autonomous,Trucking,2017,Pittsburgh US,$1B,$4.3B (public),Sequoia Amazon,FedEx partner,-,aurora.tech
Wayve,영국 자율주행 AI,AI Autonomous,Self-Driving,2017,London UK,$1.05B,-,SoftBank Microsoft,-,-,wayve.ai
Zoox,Amazon 자율주행 로보택시,AI Autonomous,Robotaxi,2014,Foster City US,Acquired,$1.2B (acquired),Amazon,-,-,zoox.com
Nuro,자율주행 배송 로봇,AI Autonomous,Delivery,2016,Mountain View US,$2.1B,$8.6B,SoftBank Google,Partners,-,nuro.ai
Figure AI,휴머노이드 로봇 선두,AI Robotics,Humanoid,2022,Sunnyvale US,$754M,$2.6B,Microsoft OpenAI Nvidia,BMW partner,-,figure.ai
Boston Dynamics,로봇 기술 선두. Hyundai 자회사,AI Robotics,Industrial,1992,Waltham US,$100M+,-,Hyundai,-,-,bostondynamics.com
Agility Robotics,Digit 휴머노이드 로봇,AI Robotics,Humanoid,2015,Corvallis US,$177M,-,DCVC Playground,Amazon partner,-,agilityrobotics.com
1X Technologies,휴머노이드 로봇. 노르웨이,AI Robotics,Humanoid,2014,Moss Norway,$125M,-,OpenAI Tiger,Enterprise,-,1x.tech
Apptronik,휴머노이드 로봇 Apollo,AI Robotics,Humanoid,2016,Austin US,$25M,-,Google Ventures,-,-,apptronik.com
Sanctuary AI,AI 휴머노이드 로봇,AI Robotics,Humanoid,2018,Vancouver Canada,$140M,-,Accel SE Ventures,-,-,sanctuary.ai
Nvidia,AI 칩 및 GPU 지배자,AI Chips,GPU,1993,Santa Clara US,Public,$3.3T (public),Public,AI industry,$130B,nvidia.com
AMD,AI 및 데이터센터 칩,AI Chips,GPU,1969,Santa Clara US,Public,$180B (public),Public,Enterprise,$23B,amd.com
Intel,AI 칩 및 프로세서,AI Chips,CPU/AI,1968,Santa Clara US,Public,$90B (public),Public,Enterprise,$54B,intel.com
Groq,AI 추론 칩 LPU,AI Chips,Inference,2016,Mountain View US,$750M,$6.9B,Nvidia (2025) Tiger,AI companies,-,groq.com
Cerebras,웨이퍼 스케일 AI 칩,AI Chips,Training,2016,Sunnyvale US,$1.1B,-,a16z Benchmark,OpenAI partner,-,cerebras.net
SambaNova,기업용 AI 칩 및 플랫폼,AI Chips,Full Stack,2017,Palo Alto US,$1.1B,$5.1B,SoftBank BlackRock,Enterprise,-,sambanova.ai
Graphcore,AI 가속기 IPU,AI Chips,Accelerator,2016,Bristol UK,$710M,$2.77B,Microsoft Dell,Enterprise,-,graphcore.ai
Tenstorrent,AI 칩 설계. Jim Keller 주도,AI Chips,Accelerator,2016,Santa Clara US,$370M,$1B+,Hyundai Samsung,Enterprise,-,tenstorrent.com
d-Matrix,AI 추론 칩,AI Chips,Inference,2019,Santa Clara US,$160M,-,Microsoft M12,Enterprise,-,d-matrix.ai
Hailo,엣지 AI 칩,AI Chips,Edge AI,2017,Tel Aviv Israel,$224M,$1B,Gil Ventures,Automotive,-,hailo.ai
CrowdStrike,AI 사이버보안 플랫폼,AI Security,Cybersecurity,2011,Austin US,$480M,$74B (public),Accel Warburg,$3.4B,$3.4B,crowdstrike.com
Darktrace,AI 사이버보안. Thoma Bravo 인수,AI Security,Cybersecurity,2013,Cambridge UK,Acquired,$5.3B (acquired),Summit Insight,9K+ customers,-,darktrace.com
SentinelOne,AI 엔드포인트 보안,AI Security,Endpoint,2013,Mountain View US,$700M,$7.5B (public),Tiger Insight,$818M,$818M,sentinelone.com
Vectra AI,AI 위협 탐지,AI Security,Threat Detection,2012,San Jose US,$350M,$1.2B,TCV Khosla,Enterprise,-,vectra.ai
Abnormal Security,AI 이메일 보안,AI Security,Email Security,2018,San Francisco US,$284M,$5.1B,Greylock Insight,Enterprise,-,abnormalsecurity.com
Snyk,AI 개발자 보안 플랫폼,AI Security,Developer Security,2015,Boston US,$849M,$8.5B,Accel GV,Enterprise,-,snyk.io
Promptfoo,AI 보안 테스트 도구,AI Security,AI Security,2024,US,$23.7M,-,Insight a16z,125K+ developers,-,promptfoo.dev
Stripe,결제 + AI 사기 탐지,AI Fintech,Payments,2010,San Francisco US,$9B,$91.5B,Sequoia a16z,$1.4T processed,-,stripe.com
Plaid,금융 데이터 API,AI Fintech,Financial Data,2013,San Francisco US,$734M,$6.1B,a16z Index,8K+ fintech apps,-,plaid.com
Klarna,BNPL + AI 쇼핑 어시스턴트,AI Fintech,BNPL,2005,Stockholm Sweden,$4.5B,$14.6B,Sequoia Silver Lake,114M users,Profitable,klarna.com
Ramp,AI 비용 관리 플랫폼,AI Fintech,Expense Mgmt,2019,New York US,$1.6B,$13B,Thrive Founders Fund,30K+ businesses,-,ramp.com
Brex,AI 기업 금융 플랫폼,AI Fintech,Corporate Cards,2017,San Francisco US,$1.5B,$12.3B,Tiger Y Combinator,20K+ customers,-,brex.com
Upstart,AI 대출 플랫폼,AI Fintech,Lending,2012,San Mateo US,Public,$3.6B (public),Khosla,$1.6B,$713M,upstart.com
AlphaSense,AI 금융 리서치 플랫폼,AI Fintech,Research,2011,New York US,$620M,$4B,Viking GS,4K+ Enterprise,-,alpha-sense.com
Kensho,S&P Global AI 분석,AI Fintech,Analytics,2013,Cambridge US,Acquired,$550M (acquired),S&P Global,S&P customers,-,kensho.com
Duolingo,AI 언어 학습 앱,AI Education,Language,2011,Pittsburgh US,$183M,$11B (public),CapitalG Google,100M+ users,$531M,duolingo.com
Khan Academy,AI 튜터 Khanmigo,AI Education,K-12,2008,Mountain View US,Nonprofit,-,Gates Foundation,150M+ users,-,khanacademy.org
Coursera,온라인 학습 + AI,AI Education,Online Learning,2012,Mountain View US,$464M,$2.5B (public),Kleiner NEA,136M+ learners,$636M,coursera.org
Chegg,AI 학습 어시스턴트,AI Education,Tutoring,2005,Santa Clara US,Public,$660M (public),Public,Students,$632M,chegg.com
Speak,AI 영어 회화 학습,AI Education,Language,2016,San Francisco US,$78M,-,OpenAI Founders Fund,Users,-,speak.com
Photomath,AI 수학 문제 풀이,AI Education,Math,2014,Zagreb Croatia,Acquired,$220M (acquired),Google,220M+ downloads,-,photomath.com
Quizlet,AI 학습 플래시카드,AI Education,Study Tools,2005,San Francisco US,$62M,-,Union Square,60M+ users,-,quizlet.com
Workday,AI HR 및 재무 소프트웨어,AI HR,HCM,2005,Pleasanton US,Public,$65B (public),Greylock,$7.7B,$7.7B,workday.com
ServiceNow,AI 기업 워크플로우,AI HR,Workflow,2004,Santa Clara US,Public,$180B (public),Sequoia,$10.4B,$10.4B,servicenow.com
Rippling,AI HR 및 IT 플랫폼,AI HR,HR Platform,2016,San Francisco US,$1.4B,$13.5B,Sequoia Founders Fund,Enterprise,-,rippling.com
Gusto,AI 급여 및 HR,AI HR,Payroll,2011,San Francisco US,$746M,$9.5B,General Catalyst,300K+ businesses,-,gusto.com
Eightfold AI,AI 채용 및 인재 관리,AI HR,Talent,2016,Santa Clara US,$420M,$2.1B,SoftBank General Catalyst,Enterprise,-,eightfold.ai
Pymetrics,AI 채용 평가. Harver 합병,AI HR,Assessment,2012,New York US,$68M,-,Khosla,Enterprise,-,pymetrics.ai
HireVue,AI 비디오 면접,AI HR,Recruiting,2004,South Jordan US,$93M,$500M,Sequoia,Enterprise,-,hirevue.com
Beamery,AI 인재 확보 플랫폼,AI HR,Talent,2014,London UK,$178M,$800M,NEA Ontario Teachers,Enterprise,-,beamery.com
Textio,AI 채용 공고 최적화,AI HR,Recruiting,2014,Seattle US,$42M,-,Emergence,Enterprise,-,textio.com
The Trade Desk,AI 광고 플랫폼,AI Marketing,Advertising,2009,Ventura US,Public,$58B (public),Public,$2.4B,$2.4B,thetradedesk.com
Persado,AI 마케팅 언어 생성,AI Marketing,Content,2012,New York US,$130M,-,Goldman Sachs,Enterprise,-,persado.com
Albert,AI 자율 마케팅 플랫폼,AI Marketing,Advertising,2014,Tel Aviv Israel,$18M,-,Blumberg Capital,Brands,-,albert.ai
Smartly.io,AI 소셜 광고 자동화,AI Marketing,Social Ads,2013,Helsinki Finland,$55M,-,Highland Europe,700+ brands,-,smartly.io
Phrasee,AI 마케팅 카피 최적화,AI Marketing,Content,2015,London UK,$31M,-,Octopus Ventures,Enterprise,-,phrasee.co
